Sn,System,Sub System,Project Number,Sub Contract,Building Number,Floor,Drawing Zone,Discipline,Sub Discipline,Drawing Stage,DN,Column1,Title,21,Review Time Days,Review Time Overdue,25,S_Date,27,28,C_Date,292,Drawing Submission Status,By2,Aref_0,Asub_0,Asub_02,Asub_03,Jvref_0,Jvc_0,Jvcd_0,Cmac_0,Aref_1,Asub_1,Jvref_1,Jvc_1,Jvcd_1,Cmac_1,Aref_2,Asub_2,Jvref_2,Jvc_2,Jvcd_2,Cmac_2,Aref_3,Asub_3,Jvref_3,Jvc_3,Jvcd_3,Cmac_3,Aref_4,Asub_4,Jvref_4,Jvc_4,Jvcd_4,Cmac_4,Aref_5,Asub_5,Jvref_5,Jvc_5,Jvcd_5,Cmac_5,Aref_6,Asub_6,Jvref_6,Jvc_6,Jvcd_6,Cmac_6,Aref_7,Asub_7,Jvref_7,Jvc_7,Jvcd_7,Cmac_7
912,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,5.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-05-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-05,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
913,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,6.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-06-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-06,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
914,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,7.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-07-ICT-SIG-SD-00,Firstfloor Digital Signage Layout Plan Part-07,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
915,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,8.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-08-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-08,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
916,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,9.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-09-ICT-SIG-SD-00,Firstfloor Digital Signage Layout Plan Part-09,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
917,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,10.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-10-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-10,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
918,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,11.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-11-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-11,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
919,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,12.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-12-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-12,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
920,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,13.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-13-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-13,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
921,ICT,SIGNAGE SYSTEM,1300403,ATS,B01,FF,14.0,ICT,SIG,SD,0,1300403-ATS-B01-FF-14-ICT-SIG-SD-00,First Floor Digital Signage Layout Plan Part-14,2025-05-22,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
